filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
src/lapack/dormlq.c,129,0,0.0,78,0,0.0,1,0,0.0,2,23,308.0,13.0,5,1,308,0,1,6,5,93,0,0,34,34.0,34.0,34
src/lapack/dormqr.c,124,0,0.0,76,0,0.0,1,0,0.0,2,22,300.0,13.0,5,1,300,0,1,6,5,93,0,0,34,33.0,33.0,34
src/lapack/dpotf2.c,73,0,0.0,28,0,0.0,1,0,0.0,1,17,192.0,5.0,3,1,192,0,1,4,3,61,0,0,33,14.0,14.0,33
src/lapack/dpotrf.c,83,0,0.0,40,0,0.0,1,0,0.0,1,18,218.0,5.0,5,1,218,0,1,6,5,64,0,0,35,18.0,18.0,35
src/lapack/dpotrs.c,41,0,0.0,24,0,0.0,1,0,0.0,0,10,135.0,8.0,1,1,135,0,1,2,1,49,0,0,29,11.0,11.0,29
src/lapack/dsteqr.c,324,0,0.0,158,0,0.0,1,0,0.0,1,86,593.0,8.0,12,1,593,0,1,13,12,108,0,0,58,64.0,64.0,58
src/lapack/dsterf.c,240,0,0.0,104,0,0.0,1,0,0.0,1,63,430.0,4.0,8,1,430,0,1,9,8,71,0,0,47,41.0,41.0,47
src/lapack/dsyev.c,111,0,0.0,48,0,0.0,1,0,0.0,1,19,254.0,9.0,9,1,254,0,1,10,9,71,0,0,39,22.0,22.0,39
src/lapack/dsygs2.c,131,0,0.0,38,0,0.0,1,0,0.0,1,17,266.0,8.0,5,1,266,0,1,6,5,71,0,0,45,18.0,18.0,45
src/lapack/dsygst.c,158,0,0.0,60,0,0.0,1,0,0.0,1,19,312.0,8.0,6,1,312,0,1,7,6,75,0,0,51,25.0,25.0,51
src/lapack/dsygv.c,84,0,0.0,52,0,0.0,1,0,0.0,0,20,251.0,12.0,6,1,251,0,1,7,6,95,0,0,33,24.0,24.0,33
src/lapack/dsytd2.c,75,0,0.0,26,0,0.0,1,0,0.0,1,12,275.0,8.0,6,1,275,0,1,7,6,107,0,0,35,12.0,12.0,35
src/lapack/dsytrd.c,110,0,0.0,50,0,0.0,1,0,0.0,1,19,334.0,10.0,4,1,334,0,1,5,4,129,0,0,34,23.0,23.0,34
src/lapack/dtrti2.c,57,0,0.0,28,0,0.0,1,0,0.0,1,13,153.0,6.0,2,1,153,0,1,3,2,54,0,0,31,14.0,14.0,31
src/lapack/dtrtri.c,83,0,0.0,44,0,0.0,1,0,0.0,1,16,212.0,6.0,5,1,212,0,1,6,5,66,0,0,36,20.0,20.0,36
src/lapack/ieeeck.c,64,0,0.0,30,0,0.0,1,0,0.0,1,17,146.0,3.0,0,1,146,0,1,1,0,31,0,0,22,16.0,16.0,22
src/lapack/ilaenv.c,383,0,0.0,452,0,0.0,1,0,0.0,22,138,614.0,9.0,2,1,614,0,1,4,2,115,0,0,160,226.0,226.0,160
src/lapack/lsame.c,38,0,0.0,46,0,0.0,1,0,0.0,0,12,100.0,2.0,0,1,100,0,1,1,0,35,0,0,22,28.0,28.0,22
src/lapack/xerbla.c,4,0,0.0,0,0,,1,0,0.0,0,2,39.0,2.0,1,1,39,0,1,2,1,23,0,0,23,1.0,1.0,23
src/matrix_matrix/HYPRE_ConvertParCSRMatrixToDistributedMatrix.c,16,0,0.0,2,0,0.0,1,0,0.0,4,2,43.0,2.0,2,1,43,0,1,10,2,17,0,0,3,4.0,4.0,3
src/multivector/temp_multivector.c,357,0,0.0,88,0,0.0,21,0,0.0,6,'2.52380952380952',25.7619047619048,2.85714285714286,2,8,49,1,21,113,16,12,0,0,75,73.5,3.5,75
src/parcsr_block_mv/csr_block_matrix.c,794,0,0.0,398,0,0.0,31,0,0.0,9,2,48.6451612903226,3.45161290322581,7,26,207,0,31,53,182,210,0,0,27,223.2,7.2,27
src/parcsr_block_mv/csr_block_matvec.c,108,0,0.0,64,0,0.0,2,0,0.0,0,2,129.0,5.0,0,2,139,0,2,2,0,65,0,0,25,44.0,22.0,25
src/parcsr_block_mv/par_block_nodal_systems.c,171,0,0.0,42,0,0.0,1,0,0.0,0,22,259.0,4.0,5,1,259,0,1,8,5,36,0,0,27,21.0,21.0,27
src/parcsr_block_mv/par_csr_block_comm.c,107,0,0.0,17,0,0.0,4,0,0.0,0,'4.25',45.5,2.0,3,4,97,0,4,24,12,44,0,0,26,12.8,3.2,26
src/parcsr_block_mv/par_csr_block_interp.c,2824,0,0.0,1086,0,0.0,8,0,0.0,3,2,680.375,8.125,9,1,1108,0,8,136,9,1045,0,0,70,699.3000000000001,77.7,70
src/parcsr_block_mv/par_csr_block_matrix.c,578,0,0.0,122,0,0.0,12,0,0.0,10,'26.6451612903226',355.064516129032,4.54838709677419,14,12,2037,0,31,282,168,116,0,0,37,73.19999999999999,6.1,37
src/parcsr_block_mv/par_csr_block_matvec.c,129,0,0.0,40,0,0.0,2,0,0.0,0,11,102.5,5.0,5,2,118,0,2,18,10,39,0,0,27,22.0,11.0,27
