filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC
dyninstAPI/src/Relocation/CFG/RelocTarget.h,49,0,0.0,93,0,0.0,30,0,0.0,18,2.0,1.2448979591836737,0.3877551020408164,2,48,5,5,49,57,16,0,10155,0,0,10155,45.1,1.1
dataflowAPI/rose/util/SharedPointer.h,63,6,0.095,1562,2,0.001,44,1,0.023,18,2.0,3.4999999999999982,0.6666666666666669,0,36,9,3,36,36,0,0,14940,0,0,14940,52.0,1.3
symtabAPI/h/Symbol.h,24,10,0.417,206,38,0.184,1,0,0.0,27,2.2500000000000036,5.7763157894736805,0.8157894736842107,8,58,36,23,76,153,309,0,9092,0,0,9092,36.3,1.1
stackwalk/src/libstate.h,1,0,0.0,0,0,,1,0,0.0,0,2.857142857142857,9.714285714285714,1.0000000000000004,10,14,50,9,28,86,17,0,9989,0,0,9989,1.0,1.0
proccontrol/src/resp.h,6,0,0.0,45,0,0.0,3,0,0.0,18,2.4347826086956514,7.043478260869553,1.0869565217391308,7,10,28,11,23,82,19,0,11037,0,0,11037,4.0,1.0
dataflowAPI/rose/util/Exception.h,9,0,0.0,4,0,0.0,2,0,0.0,11,2.0,1.625,0.5,0,8,3,0,8,8,0,0,14831,0,0,14831,8.0,1.0
patchAPI/h/PatchCallback.h,21,0,0.0,28,0,0.0,18,0,0.0,7,2.9487179487179507,5.589743589743588,1.5897435897435856,1,39,111,25,39,40,36,0,9025,0,0,9025,21.0,1.0
parseAPI/src/StackTamperVisitor.h,38,0,0.0,32,0,0.0,10,0,0.0,1,2.888888888888888,5.722222222222223,1.0555555555555556,2,24,35,9,36,73,24,0,12140,0,0,12140,56.0,2.0
common/src/addrtranslate-sysv.h,5,0,0.0,24,0,0.0,1,0,0.0,4,6.033333333333333,26.699999999999992,0.6333333333333339,18,7,181,28,30,190,46,0,11167,0,0,11167,3.0,1.5
dyninstAPI/src/emit-x86.h,10,0,0.0,0,0,,7,0,0.0,5,3.87323943661972,18.352112676056308,3.563380281690138,23,51,184,1,71,251,627,0,9006,0,0,9006,10.0,1.0
