filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
modules/libfabric/prov/rxd/src/rxd_tagged.c,76,0,0.0,0,0,,9,0,0.0,2,2,'13.7777777777778','6.11111111111111',1,9,'16',1,9,24,9,31,1121,0,1121,9.0,1.0,0
modules/libfabric/prov/rxm/src/rxm.h,119,0,0.0,48,0,0.0,22,0,0.0,12,'2.45945945945946','28.7567567567568','3.16216216216216',8,7,'137',318,74,527,56,0,1151,0,1151,38.0,2.0,0
modules/libfabric/prov/rxm/src/rxm_atomic.c,308,0,0.0,74,0,0.0,20,0,0.0,2,'3.25','25.55','8.05',1,2,'102',1,20,93,2,35,1229,0,1229,52.0,2.6,0
modules/libfabric/prov/rxm/src/rxm_conn.c,626,0,0.0,352,0,0.0,28,0,0.0,1,'6.96428571428571','34.6071428571429','1.64285714285714',1,2,'109',3,28,264,2,77,1583,0,1583,162.4,5.8,0
modules/libfabric/prov/rxm/src/rxm_cq.c,1218,0,0.0,492,0,0.0,58,0,0.0,1,'5.67241379310345','31.6206896551724','2.37931034482759',1,8,'134',6,58,645,8,89,1604,0,1604,290.0,5.0,0
modules/libfabric/prov/rxm/src/rxm_domain.c,555,0,0.0,187,0,0.0,37,0,0.0,1,'4.51351351351351','21.6756756756757','3.16216216216216',1,26,'113',10,37,176,26,42,1312,0,1312,122.1,3.3,0
modules/libfabric/prov/rxm/src/rxm_ep.c,1208,0,0.0,503,0,0.0,70,0,0.0,1,'4.95714285714286','25.1',3,4,15,'137',9,70,500,60,70,1480,0,1480,301.0,4.3,0
modules/libfabric/prov/rxm/src/rxm_eq.c,56,0,0.0,22,0,0.0,2,0,0.0,0,9,40,'2.5',1,2,'52',1,2,12,2,31,1162,0,1162,13.0,6.5,0
modules/libfabric/prov/rxm/src/rxm_fabric.c,95,0,0.0,38,0,0.0,5,0,0.0,0,'6.2','27.4','1.8',1,1,'56',2,5,28,1,31,1185,0,1185,23.0,4.6,0
modules/libfabric/prov/rxm/src/rxm_hmem.c,45,0,0.0,19,0,0.0,2,0,0.0,1,'5.5',31,6,1,1,'38',0,2,6,1,18,1158,0,1158,10.0,5.0,0
modules/libfabric/prov/rxm/src/rxm_init.c,385,166,0.431,204,54,0.265,14,11,0.7859999999999999,2,'5.16666666666667',29,'2.16666666666667',1,7,'82',15,18,55,7,72,0,0,75,100.1,7.7,75
modules/libfabric/prov/rxm/src/rxm_msg.c,645,0,0.0,158,0,0.0,34,0,0.0,3,'4.11764705882353','27.5','6.5',1,12,'88',2,34,277,12,43,1316,0,1316,112.2,3.3,0
modules/libfabric/prov/rxm/src/rxm_rma.c,399,0,0.0,92,0,0.0,25,0,0.0,0,'4.2','24.88','6.24',1,10,'51',2,25,151,10,32,1254,0,1254,67.5,2.7,0
modules/libfabric/prov/rxm/src/rxm_tagged.c,332,0,0.0,60,0,0.0,22,0,0.0,0,4,'22.5','6.27272727272727',2,16,'74',2,22,119,32,34,1248,0,1248,50.6,2.3,0
modules/libfabric/prov/sockets/include/sock.h,2,2,1.0,0,0,,1,1,1.0,1,2,'1.0234375','2.7265625',0,128,'4',535,128,130,0,0,1089,0,1089,1.0,1.0,0
modules/libfabric/prov/sockets/include/sock_util.h,4,2,0.5,0,0,,2,1,0.5,0,3,11,2,1,2,'11',16,2,5,2,0,1089,0,1089,8.0,4.0,0
modules/libfabric/prov/sockets/src/sock_atomic.c,279,119,0.427,83,35,0.422,15,6,0.4,2,'6.53333333333333',33,'8.46666666666667',4,2,'190',1,15,36,8,33,1151,0,1151,88.5,5.9,0
modules/libfabric/prov/sockets/src/sock_av.c,419,190,0.4529999999999999,211,57,0.27,19,12,0.632,2,'5.89473684210526','29.8947368421053','3.78947368421053',3,8,'113',3,19,39,24,39,1238,0,1238,110.2,5.8,0
modules/libfabric/prov/sockets/src/sock_cntr.c,357,184,0.515,122,41,0.336,18,11,0.611,5,'6.27777777777778','28.3888888888889','1.83333333333333',6,10,'100',3,18,49,60,38,1219,0,1219,91.8,5.1,0
modules/libfabric/prov/sockets/src/sock_comm.c,130,110,0.846,60,47,0.7829999999999999,10,9,0.9,2,'4.1','17.6','2.1',0,5,'28',0,10,17,0,33,1120,0,1120,35.0,3.5,0
modules/libfabric/prov/sockets/src/sock_conn.c,367,260,0.708,160,61,0.381,16,14,0.875,5,'6.94117647058824','33.2352941176471','1.64705882352941',4,5,'126',0,17,51,20,39,1290,0,1290,83.30000000000001,4.9,0
modules/libfabric/prov/sockets/src/sock_cq.c,455,263,0.578,167,55,0.3289999999999999,27,20,0.741,4,'5.55555555555556','24.5185185185185','2.88888888888889',3,11,'117',3,27,60,33,33,1231,0,1231,121.5,4.5,0
modules/libfabric/prov/sockets/src/sock_ctx.c,118,101,0.856,21,11,0.524,13,11,0.846,6,'2.92307692307692','13.2307692307692','3.46153846153846',2,7,'55',0,13,22,14,32,1144,0,1144,23.4,1.8,0
modules/libfabric/prov/sockets/src/sock_dom.c,92,56,0.609,30,9,0.3,6,4,0.667,7,'5.33333333333333','23.5','3.16666666666667',7,3,'67',3,6,30,21,32,1121,0,1121,22.8,3.8,0
modules/libfabric/prov/sockets/src/sock_ep.c,1235,464,0.376,663,153,0.231,43,22,0.512,10,'8.51162790697674','38.5581395348837','2.67441860465116',11,14,'190',9,43,152,154,46,1423,0,1423,373.50000000000006,8.3,0
modules/libfabric/prov/sockets/src/sock_ep_dgram.c,18,0,0.0,4,0,0.0,2,0,0.0,1,3,13,4,1,2,'13',0,2,4,2,31,1091,0,1091,4.0,2.0,0
modules/libfabric/prov/sockets/src/sock_ep_msg.c,795,77,0.0969999999999999,409,19,0.046,41,7,0.171,2,'5.90243902439024','28.0975609756098','2.36585365853659',5,9,'96',4,41,110,45,59,1512,0,1512,196.8,4.8,0
modules/libfabric/prov/sockets/src/sock_ep_rdm.c,18,8,0.444,4,1,0.25,2,1,0.5,1,3,13,4,1,2,'13',0,2,4,2,31,1091,0,1091,4.0,2.0,0
modules/libfabric/prov/sockets/src/sock_eq.c,251,0,0.0,97,0,0.0,12,0,0.0,4,'6.25',30,4,1,7,'77',3,12,25,7,32,1150,0,1150,69.6,5.8,0
modules/libfabric/prov/sockets/src/sock_fabric.c,183,102,0.557,34,10,0.294,19,11,0.579,8,'2.85','10.9','1.5',2,6,'30',24,20,67,12,34,0,0,46,37.8,2.1,46
modules/libfabric/prov/sockets/src/sock_mr.c,111,86,0.775,31,11,0.355,7,6,0.857,1,'3.85714285714286','22.7142857142857','5.14285714285714',2,4,'58',2,7,14,8,31,1117,0,1117,21.0,3.0,0
modules/libfabric/prov/sockets/src/sock_msg.c,417,254,0.609,128,67,0.523,18,9,0.5,2,'5.27777777777778','36.4444444444444','5.61111111111111',5,4,'115',2,18,54,20,31,1161,0,1161,88.2,4.9,0
modules/libfabric/prov/sockets/src/sock_poll.c,134,0,0.0,46,0,0.0,6,0,0.0,0,5,'29.5','2.33333333333333',3,4,'61',2,6,13,12,31,1130,0,1130,28.200000000000003,4.7,0
modules/libfabric/prov/sockets/src/sock_progress.c,1969,1262,0.6409999999999999,1037,476,0.4589999999999999,71,56,0.789,7,'7.80281690140845','37.5774647887324','2.36619718309859',11,6,'173',0,71,237,66,76,1664,0,1664,525.4,7.4,0
modules/libfabric/prov/sockets/src/sock_rma.c,249,58,0.233,62,16,0.258,9,1,0.111,2,'5.55555555555556','46.8888888888889','6.66666666666667',3,2,'132',1,9,30,6,31,1140,0,1140,46.8,5.2,0
modules/libfabric/prov/sockets/src/sock_rx_entry.c,96,85,0.885,56,32,0.5710000000000001,5,5,1.0,3,'4.8',26,'2.6',1,5,'37',0,5,7,5,31,1107,0,1107,32.0,6.4,0
modules/libfabric/prov/sockets/src/sock_trigger.c,217,78,0.359,87,19,0.218,6,3,0.5,4,'7.5','49.6666666666667',4,4,5,'83',0,6,19,20,37,1143,0,1143,55.2,9.2,0
modules/libfabric/prov/sockets/src/sock_wait.c,168,0,0.0,77,0,0.0,8,0,0.0,3,6,'30.5','1.875',4,5,'70',2,8,17,20,31,1149,0,1149,44.1,4.9,0
modules/libfabric/prov/tcp/src/xnet.h,107,0,0.0,22,0,0.0,20,0,0.0,14,'4.275','24.5625','2.0125',10,10,'121',162,80,634,100,0,1117,0,1117,33.0,1.5,0
modules/libfabric/prov/tcp/src/xnet_attr.c,13,13,1.0,10,8,0.8,2,2,1.0,0,3,9,'2.5',1,2,'10',16,2,6,2,34,1117,0,1117,7.0,3.5,0
modules/libfabric/prov/tcp/src/xnet_cm.c,220,0,0.0,140,0,0.0,9,0,0.0,1,'8.11111111111111',38,'1.55555555555556',5,3,'68',3,9,90,15,45,1247,0,1247,55.8,6.2,0
modules/libfabric/prov/tcp/src/xnet_cq.c,292,0,0.0,106,0,0.0,21,0,0.0,4,'2.57142857142857','19.0952380952381','2.0952380952381',4,14,'58',3,21,88,56,42,1195,0,1195,71.39999999999999,3.4,0
modules/libfabric/prov/tcp/src/xnet_domain.c,112,0,0.0,26,0,0.0,9,0,0.0,0,'2.88888888888889','18.4444444444444','4.55555555555556',5,7,'37',4,9,37,35,31,1143,0,1143,21.6,2.4,0
modules/libfabric/prov/tcp/src/xnet_ep.c,465,0,0.0,217,0,0.0,26,0,0.0,1,'4.92307692307692','26.0384615384615','2.5',7,9,'121',7,26,214,63,60,1340,0,1340,127.6,4.4,0
modules/libfabric/prov/tcp/src/xnet_eq.c,133,0,0.0,46,0,0.0,8,0,0.0,4,'2.25','24.5','2.625',3,5,'69',2,8,58,15,35,1174,0,1174,31.2,3.9,0
modules/libfabric/prov/tcp/src/xnet_fabric.c,28,0,0.0,6,0,0.0,2,0,0.0,1,'2.5',22,2,2,2,'27',2,2,10,4,31,1125,0,1125,5.0,2.5,0
modules/libfabric/prov/tcp/src/xnet_init.c,71,59,0.831,24,9,0.375,4,3,0.75,15,'3.75','33.25','2.25',1,4,'114',17,4,23,4,35,0,0,58,14.1,4.7,58
modules/libfabric/prov/tcp/src/xnet_msg.c,427,0,0.0,72,0,0.0,23,0,0.0,0,'4.1304347826087','26.4347826086957','4.47826086956522',4,2,'40',2,23,223,8,36,1296,0,1296,59.8,2.6,0
modules/libfabric/prov/tcp/src/xnet_pep.c,223,0,0.0,106,0,0.0,11,0,0.0,1,5,'29.7272727272727','2.72727272727273',4,7,'58',3,11,73,28,38,1229,0,1229,57.2,5.2,0
modules/libfabric/prov/tcp/src/xnet_profile.c,14,0,0.0,0,0,,2,0,0.0,3,2,10,5,0,2,'10',0,2,2,0,33,1117,0,1117,27.6,2.3,0
modules/libfabric/prov/tcp/src/xnet_progress.c,1182,0,0.0,526,0,0.0,61,0,0.0,11,'4.63934426229508','29.1967213114754','1.95081967213115',5,4,'84',3,61,634,20,99,1701,0,1701,298.90000000000003,4.9,0
modules/libfabric/prov/tcp/src/xnet_rdm.c,494,0,0.0,102,0,0.0,37,0,0.0,1,'3.83783783783784','19.2702702702703','5.13513513513514',5,35,'56',7,37,199,175,36,1313,0,1313,81.4,2.2,0
modules/libfabric/prov/tcp/src/xnet_rdm_cm.c,338,0,0.0,170,0,0.0,15,0,0.0,4,'6.06666666666667','33.3333333333333','1.6',3,2,'116',4,15,123,6,58,1320,0,1320,82.5,5.5,0
modules/libfabric/prov/tcp/src/xnet_rma.c,222,0,0.0,14,0,0.0,12,0,0.0,0,'2.91666666666667','30.1666666666667','6.33333333333333',4,3,'74',1,12,83,12,37,1186,0,1186,20.4,1.7,0
modules/libfabric/prov/tcp/src/xnet_srx.c,534,0,0.0,186,0,0.0,29,0,0.0,0,'4.86206896551724','26.3448275862069','3.31034482758621',6,4,'62',4,29,261,24,58,1334,0,1334,116.0,4.0,0
modules/libfabric/prov/udp/src/udpx.h,1,0,0.0,2,0,0.0,3,0,0.0,4,2,'17.1666666666667','3.5',1,5,'33',22,6,12,5,0,1096,0,1096,0.0,0.0,0
modules/libfabric/prov/udp/src/udpx_cq.c,25,0,0.0,6,0,0.0,2,0,0.0,0,'3.5','16.5','2.5',1,2,'21',1,2,4,2,31,1101,0,1101,5.0,2.5,0
modules/libfabric/prov/udp/src/udpx_domain.c,29,0,0.0,8,0,0.0,2,0,0.0,0,4,19,'2.5',1,2,'27',3,2,6,2,31,1102,0,1102,6.0,3.0,0
modules/libfabric/prov/udp/src/udpx_ep.c,470,0,0.0,136,0,0.0,35,0,0.0,0,'3.62857142857143','18.6571428571429','3.94285714285714',2,14,'48',6,35,156,28,31,1247,0,1247,98.0,2.8,0
modules/libfabric/prov/udp/src/udpx_fabric.c,25,0,0.0,6,0,0.0,2,0,0.0,0,'3.5','15.5',2,2,2,'20',2,2,6,4,31,1100,0,1100,5.0,2.5,0
modules/libfabric/prov/udp/src/udpx_init.c,8,6,0.75,0,0,,3,2,0.667,4,2,'5.5','3.5',1,2,'7',2,2,3,2,32,0,0,7,2.0,1.0,7
modules/libfabric/prov/util/src/cuda_ipc_monitor.c,2,0,0.0,0,0,,1,0,0.0,1,2,6,3,0,1,'6',2,1,1,0,31,822,0,822,2.0,1.0,0
