filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC,function_total,function_covered,function_percent
linalg/symmat.hpp,17,0,0.0,88,0,0.0,4,2.32142857142857,4.25,0.714285714285714,4,5,18,1,28,101,20,0,10970,0,0,10970,32.0,1.6,7,4,0.5710000000000001
linalg/vector.hpp,140,0,0.0,220,0,0.0,618,2.67647058823529,10.1666666666667,1.07843137254902,15,9,74,2,102,491,135,0,10921,0,0,10921,87.10000000000001,1.3,58,55,0.948
mesh/element.hpp,13,0,0.0,0,0,,48,2.375,2.125,0.666666666666667,0,19,15,2,24,32,0,0,12048,0,0,12048,11.0,1.0,11,7,0.636
mesh/gmsh.cpp,261,0,0.0,392,0,0.0,1,7.16666666666667,38.0833333333333,2.0,3,4,101,0,12,38,12,0,11999,0,0,11999,176.39999999999998,14.7,12,0,0.0
mesh/nurbs.cpp,2638,0,0.0,6868,0,0.0,0,2.0,52.5,3.0,0,2,59,0,2,2,0,0,17011,0,0,17011,928.0,5.8,151,122,0.8079999999999999
mesh/quadrilateral.cpp,20,0,0.0,34,0,0.0,25,0.0,0.0,0.0,0,0,0,1,0,0,0,0,17054,0,0,17054,6.0,1.2,5,5,1.0
mesh/quadrilateral.hpp,15,0,0.0,0,0,,0,2.05882352941176,2.76470588235294,0.882352941176471,4,10,9,1,17,37,40,0,12048,0,0,12048,11.0,1.0,12,9,0.75
mesh/spacing.cpp,297,0,0.0,1334,0,0.0,1,9.0,60.0,3.0,2,1,60,0,1,3,2,0,11165,0,0,11165,91.0,7.0,13,9,0.6920000000000001
mesh/submesh/ncsubmesh.hpp,4,0,0.0,0,0,,1,4.4,23.8,1.0,5,4,109,5,5,46,20,0,15505,0,0,15505,4.0,1.0,3,3,1.0
mesh/submesh/submesh.hpp,20,0,0.0,6,0,0.0,2,3.25,14.8,0.9,11,6,226,13,20,104,66,0,15521,0,0,15521,15.6,1.3,10,10,1.0
mesh/submesh/submesh_utils.hpp,22,0,0.0,12,0,0.0,1,3.0,15.0,2.0,1,1,15,2,1,4,1,0,15408,0,0,15408,11.0,2.2,5,5,1.0
mesh/tetrahedron.cpp,198,0,0.0,254,0,0.0,15,0.0,0.0,0.0,0,0,0,1,0,0,0,0,17101,0,0,17101,92.3,7.1,13,9,0.6920000000000001
mesh/tetrahedron.hpp,21,0,0.0,0,0,,2,4.37931034482759,11.7241379310345,1.27586206896552,10,10,95,3,29,84,100,0,12048,0,0,12048,15.0,1.0,16,15,0.938
mesh/triangle.cpp,95,0,0.0,184,0,0.0,23,0.0,0.0,0.0,0,0,0,1,0,0,0,0,17082,0,0,17082,34.2,3.8,9,9,1.0
mesh/triangle.hpp,22,0,0.0,26,0,0.0,1,3.0,7.76,1.0,8,10,61,2,25,61,80,0,13986,0,0,13986,15.0,1.0,16,13,0.812
mesh/vertex.hpp,5,0,0.0,2,0,0.0,0,2.25,2.125,1.375,2,2,7,1,8,19,4,0,10314,0,0,10314,7.700000000000001,1.1,6,6,1.0
mesh/vtk.cpp,283,0,0.0,467,0,0.0,5,6.2,33.8,3.0,8,8,115,0,15,38,64,0,12022,0,0,12022,174.6,9.7,18,13,0.722
mesh/vtk.hpp,3,0,0.0,2,0,0.0,2,12.75,27.75,1.25,2,1,64,28,4,41,2,0,11974,0,0,11974,2.0,2.0,1,1,1.0
fem/bilininteg.hpp,189,0,0.0,170,0,0.0,176,3.5782208588957056,17.37116564417178,1.8282208588957047,786,475,361,466,652,4025,4484,0,15573,0,0,15573,460.2,1.3,359,297,0.8270000000000001
fem/tmop.hpp,120,0,0.0,322,0,0.0,116,2.9383561643835616,14.257990867579895,1.7237442922374426,320,256,346,212,438,2377,2440,0,15072,0,0,15072,176.0,1.1,133,59,0.444
fem/coefficient.hpp,81,0,0.0,50,0,0.0,285,2.3474387527839644,4.788418708240535,1.2538975501113585,221,193,54,146,449,1333,714,0,14211,0,0,14211,266.0,1.0,92,77,0.8370000000000001
fem/fe/fe_fixed_order.hpp,60,0,0.0,0,0,,1,3.074349442379182,24.14498141263941,1.5353159851301108,280,217,276,37,269,1177,1113,0,13897,0,0,13897,34.0,1.0,30,0,0.0
fem/fe_coll.hpp,194,0,0.0,202,0,0.0,102,3.8163934426229518,12.180327868852457,0.9606557377049176,176,215,329,161,305,847,981,0,13945,0,0,13945,155.10000000000002,1.1,140,53,0.379
linalg/ode.hpp,73,0,0.0,68,0,0.0,100,2.7419354838709684,8.919354838709676,1.3548387096774201,149,65,50,96,124,611,213,0,10969,0,0,10969,68.9,1.3,49,40,0.816
general/reducers.hpp,5,0,0.0,0,0,,5,2.5625,7.249999999999997,1.5416666666666667,32,46,62,15,48,137,61,0,10966,0,0,10966,81.6,1.7,0,0,
linalg/solvers.hpp,94,0,0.0,208,0,0.0,162,4.08904109589041,19.636986301369863,1.2465753424657535,147,67,208,109,146,885,390,0,11040,0,0,11040,123.20000000000002,1.1,70,46,0.657
general/mem_manager.cpp,736,0,0.0,3980,0,0.0,44,2.4646464646464645,4.666666666666669,1.6161616161616161,26,91,35,28,99,223,163,0,11523,0,17,11506,466.9,2.9,122,76,0.623
fem/fe/fe_pos.hpp,42,0,0.0,2,0,0.0,29,4.74418604651163,25.081395348837205,2.162790697674418,117,50,192,60,86,584,310,0,13898,0,0,13898,11.0,1.1,8,6,0.75
fem/lininteg.hpp,36,0,0.0,78,0,0.0,31,2.717171717171717,12.838383838383843,1.93939393939394,253,82,129,84,99,708,1024,0,16693,0,0,16693,58.8,1.2,41,37,0.902
general/tinyxml2.h,287,0,0.0,76,0,0.0,61,2.62907268170426,7.736842105263156,0.9849624060150373,73,241,113,68,399,1064,1164,0,149,0,0,149,254.8,1.3,162,100,0.617
mesh/ncmesh.hpp,137,0,0.0,207,0,0.0,62,5.272727272727271,28.01298701298699,1.9090909090909118,51,52,817,114,231,1485,362,0,12073,0,0,12073,110.6,1.4,72,66,0.917
fem/geom.hpp,17,0,0.0,53,0,0.0,106,12.172413793103441,59.103448275862114,1.6551724137931034,21,18,533,102,29,122,210,0,12022,0,0,12022,16.0,1.6,8,7,0.875
linalg/operator.hpp,83,0,0.0,144,0,0.0,464,2.4341085271317837,7.705426356589146,1.9147286821705403,42,56,61,52,129,482,116,0,10966,0,0,10966,73.0,1.0,59,34,0.5760000000000001
linalg/tensor.hpp,39,0,0.0,4,0,0.0,251,2.602564102564104,7.06410256410258,1.6153846153846187,14,69,59,23,78,126,268,0,11019,0,0,11019,304.5,1.5,35,0,0.0
general/gecko.hpp,81,0,0.0,31,0,0.0,23,2.911764705882354,8.27450980392155,1.4509803921568603,30,81,130,16,102,230,311,0,7907,0,0,7907,86.8,1.4,36,34,0.944
linalg/tlayout.hpp,2,0,0.0,0,0,,0,2.026666666666667,4.6,0.866666666666667,3,51,14,48,75,114,9,0,15205,0,0,15205,16.5,1.1,225,99,0.44
fem/fe/fe_nd.hpp,162,0,0.0,30,0,0.0,5,5.113924050632913,25.4873417721519,2.272151898734176,178,50,382,123,158,1227,695,0,13915,0,0,13915,81.0,1.0,80,38,0.475
linalg/tmatrix.hpp,37,0,0.0,0,0,,0,2.8749999999999987,13.843749999999996,3.9375000000000018,9,32,135,0,32,77,42,0,10913,0,0,10913,76.8,2.4,139,63,0.4529999999999999
mesh/mesh.hpp,115,0,0.0,119,0,0.0,394,6.839901477832514,40.19704433497537,1.9876847290640431,153,144,1328,126,406,2680,12871,0,15073,0,0,15073,94.6,1.1,72,68,0.944
fem/transfer.hpp,19,0,0.0,0,0,,14,3.586206896551724,20.7816091954023,1.643678160919539,115,61,182,66,87,551,900,0,15220,0,0,15220,18.0,1.0,16,2,0.125
